iter	Passed	Remaining
0	12	1279
1	21	1066
2	31	1005
3	39	945
4	47	904
5	54	858
6	62	829
7	70	807
8	79	807
9	88	793
10	96	781
11	104	764
12	111	743
13	117	722
14	123	699
15	129	677
16	134	657
17	140	641
18	146	625
19	152	609
20	157	594
21	164	582
22	171	575
23	178	564
24	184	554
25	190	543
26	197	534
27	203	524
28	209	513
29	215	503
30	221	492
31	227	482
32	234	475
33	241	468
34	247	460
35	254	452
36	262	446
37	269	440
38	276	433
39	283	425
40	289	416
41	295	408
42	300	398
43	306	390
44	312	382
45	318	373
46	323	365
47	329	357
48	335	349
49	340	340
50	346	332
51	352	324
52	357	316
53	363	309
54	370	302
55	375	295
56	380	287
57	386	279
58	392	272
59	399	266
60	406	259
61	412	252
62	417	245
63	422	237
64	428	230
65	433	223
66	439	216
67	445	209
68	450	202
69	457	196
70	464	189
71	470	183
72	475	176
73	481	169
74	486	162
75	492	155
76	497	148
77	503	142
78	508	135
79	514	128
80	520	122
81	527	115
82	533	109
83	539	102
84	544	96
85	550	89
86	555	83
87	561	76
88	567	70
89	574	63
90	581	57
91	588	51
92	595	44
93	601	38
94	607	31
95	613	25
96	619	19
97	625	12
98	630	6
99	635	0
